product_category,total_sales,quantity,unit_price,product_stock,product_return_rate,product_rating,discount_applied,season,promotion_type,promotion_effectiveness,product_material,product_color,product_size,sales_velocity,estimated_margin,rating_norm,return_rate_norm,total_sales_norm,sales_velocity_norm,estimated_margin_norm,product_stock_norm,overstock_factor,quality_factor,promotion_score,upsell_score
Clothing,9999.92,7,462.6,50,0.19,2.1,0.15,Winter,Buy One Get One Free,High,Plastic,Red,Medium,199.9984,235.92600000000002,0.27499999993125,0.37999999924000005,0.9999939393754729,0.020004020840353635,0.39289823606445934,0.5050505050454035,0.4949474642170441,0.17050000016637498,0.5852027406488617,0.25197087826073655
Clothing,9999.92,3,65.21,72,0.47,2.1,0.06,Winter,Flash Sale,Low,Plastic,Green,Small,138.88777777777779,36.77843999999999,0.27499999993125,0.93999999812,0.9999939393754729,0.013891681139134467,0.060809629103323395,0.7272727272653811,0.7171696864370217,0.016500000512874997,0.5082919459048127,0.035404977514269076
Groceries,9999.92,4,813.26,60,0.17,1.8,0.28,Summer,20% Off,High,Metal,Red,Medium,166.66533333333334,351.32831999999996,0.19999999995,0.33999999932,0.9999939393754729,0.01667001736696136,0.5853374288363076,0.6060606060544842,0.5959575652261248,0.132000000103,0.6803833799281345,0.3068357348519287
Groceries,9999.88,5,905.31,71,0.08,4.6,0.49,Winter,20% Off,Low,Plastic,Red,Large,140.84338028169012,277.02486,0.8999999997749999,0.15999999968,0.9999898989591887,0.014087282270162066,0.4614326593086645,0.717171717164473,0.7070687167486003,0.7560000000989999,0.7213681951205739,0.42056034665495606
Clothing,9999.86,9,316.34,21,0.08,4.2,0.35,Spring,Flash Sale,Medium,Plastic,Green,Medium,476.18380952380954,123.37259999999998,0.7999999998,0.15999999968,0.9999878787510468,0.04762833527444855,0.20520976117307968,0.21212121211906948,0.20201823190944002,0.672000000088,0.4485840660501562,0.3386328457635809
Toys,9999.86,5,545.94,47,0.14,2.5,0.37,Fall,Buy One Get One Free,Medium,Glass,Black,Medium,212.76297872340427,206.36532,0.37499999990625,0.27999999944000004,0.9999878787510468,0.021280745548157863,0.3436043102838778,0.4747474747426793,0.46464449453304985,0.2700000001425,0.5755027263585578,0.27252955413951857
Groceries,9999.83,1,991.51,87,0.31,1.2,0.44,Fall,20% Off,Low,Glass,Red,Medium,114.94057471264368,333.14736000000005,0.04999999998749999,0.61999999876,0.9999848484388336,0.011496460231451592,0.5550197604721252,0.8787878787790021,0.8686849288787376,0.019000000057249996,0.7409296198092361,0.2313296894200956
Toys,9999.83,4,842.65,17,0.04,2.9,0.48,Summer,Buy One Get One Free,Medium,Wood,Black,Small,588.2252941176471,262.9068,0.47499999988124997,0.07999999984,0.9999848484388336,0.05883482589036991,0.4378900817425937,0.17171717171543718,0.16161422181517268,0.43699999996674993,0.5003512440076435,0.3773592136017575
Clothing,9999.81,5,771.23,7,0.35,2.2,0.5,Fall,Flash Sale,High,Plastic,Red,Medium,1428.5442857142857,231.369,0.29999999992500004,0.6999999986,0.9999828282306915,0.14288429138831443,0.3852992085799052,0.0707070707063565,0.06060414101233531,0.09000000039750003,0.3369896004822475,0.22859926484938162
Toys,9999.8,3,351.57,48,0.25,3.3,0.33,Winter,Buy One Get One Free,Medium,Metal,Blue,Small,208.32916666666665,141.33113999999998,0.5749999998562499,0.49999999900000003,0.9999818181266205,0.020837271656440778,0.23515653296207792,0.4848484848435874,0.47474556525268785,0.28750000050312496,0.5195199051603064,0.21034000521900265
